도서관명,시도명,시군구명,도서관유형,운영시작시각,운영종료시각,열람좌석수,자료수(도서),자료수(연속간행물),자료수(비도서),대출가능권수,대출가능일수
한천하누리작은도서관,전라남도,화순군,작은도서관,15:00,20:00,8,1000,0,0,3,14
상대한보 작은도서관,경상남도,진주시,작은도서관,9:00,18:00,20,1000,0,0,0,0
연세 작은도서관,경상남도,진주시,작은도서관,12:00,19:00,18,1000,0,0,0,0
초전 해모로 루비채 2단지 북카페,경상남도,진주시,작은도서관,12:00,17:00,50,1010,0,0,3,7
대곡면 새마을문고,경상남도,진주시,작은도서관,9:00,13:00,16,1100,0,0,0,0
잠정햇살마을도서관,전라남도,화순군,작은도서관,15:00,22:00,39,1150,0,0,3,14
행복소리 작은도서관,경상남도,진주시,작은도서관,9:00,18:00,12,1150,0,0,0,0
해망마을도서관,전라남도,화순군,작은도서관,14:00,17:00,30,1200,0,0,3,14
마중물 작은도서관,전라남도,화순군,작은도서관,13:00,19:00,12,1200,0,0,3,14
한우리 독서문화원,경상남도,진주시,작은도서관,10:00,13:00,24,1200,0,0,0,0
꿈이자라는문고,충청북도,영동군,작은도서관,9:00,18:00,10,1200,0,0,2,7
궁촌작은도서관,충청북도,영동군,작은도서관,9:00,18:00,6,1200,0,0,2,7
능주면민도서관,전라남도,화순군,작은도서관,9:00,22:00,36,1209,0,0,3,14
꿈이있는 도서관,경상남도,진주시,작은도서관,10:00,12:00,10,1300,0,0,0,0
갈마루작은도서관,충청북도,영동군,작은도서관,9:00,18:00,20,1300,0,0,2,7
리즈영어작은도서관,충청북도,영동군,작은도서관,9:00,18:00,12,1300,0,0,2,7
어깨동무작은도서관,충청북도,영동군,작은도서관,9:00,18:00,36,1300,0,0,2,7
경상남도혁신 꿈꾸는 도서관,경상남도,진주시,작은도서관,11:00,14:00,24,1400,0,0,2,14
빛나는 LH 1단지 도서관,경상남도,진주시,작은도서관,10:00,17:00,12,1415,0,0,2,7
지혜샘어린이문고,전라남도,화순군,작은도서관,9:00,17:00,10,1500,0,0,3,14
능성예절도서관,전라남도,화순군,작은도서관,10:00,17:00,15,1500,0,0,3,14
주곡작은도서관,충청북도,영동군,작은도서관,9:00,18:00,20,1500,0,0,2,7
구세군양강도서관,충청북도,영동군,작은도서관,9:00,18:00,30,1500,0,0,2,7
중앙성결 문고,경상남도,진주시,작은도서관,10:00,18:00,15,1600,6,0,3,7
올리움 작은도서관,경상남도,진주시,작은도서관,10:00,13:00,8,1600,0,0,3,7
참배움의 집,충청북도,영동군,작은도서관,9:00,18:00,52,1600,0,0,2,7
꿈이있는문고,충청북도,영동군,작은도서관,9:00,18:00,24,1600,0,0,2,7
심천구세군,충청북도,영동군,작은도서관,9:00,18:00,25,1600,0,0,2,7
제자교회부설 예닮 작은도서관,경상남도,진주시,작은도서관,10:00,20:00,18,1850,0,0,2,10
디딤돌 문고,경상남도,진주시,작은도서관,10:00,18:00,45,10000,4,0,3,21
월류문화센터,충청북도,영동군,학교도서관,12:30,13:10,20,10117,0,202,2,7
등대작은도서관,강원도,동해시,작은도서관,9:00,18:00,82,10135,3,361,3,14
청룡작은도서관,서울특별시,관악구,구립작은도서관,9:00,18:00,25,10178,0,140,5,14
양강초등학교도서실,충청북도,영동군,학교도서관,9:00,17:00,10,10319,0,88,2,7
이도작은도서관,강원도,동해시,작은도서관,9:00,18:00,82,10332,2,506,3,14
삼성작은도서관,서울특별시,관악구,구립작은도서관,9:00,18:00,30,10450,0,0,5,14
남현동 우리작은도서관,서울특별시,관악구,작은도서관,10:00,18:00,60,10476,0,229,5,14
용문중도서관,충청북도,영동군,학교도서관,12:30,13:20,40,10513,20,100,3,7
학산초등학교 도서관,충청북도,영동군,학교도서관,9:00,17:00,20,10525,0,751,2,5
봉현작은도서관,서울특별시,관악구,구립작은도서관,9:00,18:00,35,10677,0,262,5,14
도담도서관,충청북도,영동군,학교도서관,9:00,17:00,30,10929,3,79,3,7
